# course_code	course_title	course_type_id	offered	frequency	summary	additional_info
INFO0590	Practicum	2	Summer	Every year	In combination with required MLIS course work, the Practicum placement in an information setting is an essential experiential learning element in the school’s curriculum, and a key element in the professional training for information management students. The 100-hour placement enables the student to test and evaluate class theory, to contribute by actual participation, and to explore areas of particular interest for course specialization and future employment. Placements are arranged in consultation with the MLIS Program Coordinator.	
INFO2000	Modern Information Sharing	1	Fall	Every year	Focused primarily on skill set development, this course provides the student with an introduction to the practical application of theory in communicating in the workforce and preparing students to represent organizations to the wider community. We will address specific organizational communications and information management knowledge requirements for today’s information managers and focus on enhancing the student’s capacity for creative application of that knowledge to achieve success an employees. Students will practice using the knowledge derived from the course readings to formulate effective courses of action in an organization through case studies and online interactions.	NO SYLLABUS
INFO2001	Digital Society	1	Winter	Every year	Digital technologies (Facebook, Twitter, mobile phones) have become normalized and are an integral part of many people’s everyday lives. This course introduces the societal dimensions of today's information-rich environment. Society is being transformed, with information and information technology at the center, such as artificial intelligence and blockchain. Students will investigate various platforms and the social implications these have on the free-flow of information, privacy and ethical aspects of knowledge production.	NO SYLLABUS
INFO5500	Information in Society	2	Fall	Every year	INFO5500 introduces the field of information and the economic, political, and social dimensions of the information society. In this course, students will explore a wide range of topics including the production, dissemination, use, valuation, ethics, and legal aspects of information.	
INFO5515	Organization of Information	2	Fall	Every year	Organization of Information introduces students to the theory and application of organizing information in various formats. Primary topics throughout the course include description and representation of information in various media; metadata; subject classification theory and techniques; authority control; controlled vocabulary; indexing fundamentals; and the relationship between organization and information retrieval systems. Traditional library-oriented practices, and more recent digital and online techniques, tools, and theories, are examined. This course will be conducted online, through Brightspace. The course will be asynchronous, meaning all students may access course materials and participate in discussion at any time, from anywhere.	
INFO5520	Research Methods	2	Winter	Every year	Information professionals require knowledge of formal research processes in order to support the goals of their organization by contributing to evidence-based decision-making. This course introduces fundamental concepts of research, the nature and uses of research, tools and methods (both quantitative and qualitative), handling of evidence, analysis and interpretation of findings, reporting of results, evaluation of published reports, and the practice and management of research.	
INFO5530	Information Sources, Services, and Retrieval	2	Fall	Every year	This course is both a theoretical and practical introduction to information services, sources, and retrieval (traditionally known as “reference work”) in an array of settings. We will discuss users and their information-seeking behaviours, major categories of online and print reference resources, evolving trends in the profession, community participation, and the practice of finding and connecting users with appropriate resources in the 21st century. In the new information environment, librarians and other information specialists take on ever-expanding roles as, variously, educators, information literacy instructors, entertainment advisors, experts in publishing, research, scholarly communication and bibliometrics, and collaborators in content creation. This course, including all assignments and exercises, was originally designed and created by Lindsay McNiff. The instructions about participation, below, were adapted from content by Alison Brown.	
INFO5570	Organizational Management and Strategy	3	Winter	Every year	ntroduces management theories and practices for organizational functions occurring in any type of information setting. Examines elements involved in effective strategic planning, implementation and management including personnel, budgeting, policy writing, and change management. The INFO 5570 capstone is intended to bring synthesis to the whole of the MLIS experience.	
INFO5590	Information Management Systems	2	Fall/Summer	Every year	In Information Management Systems we will investigate a wide range of current issues in information technology, information systems, and web-based applications with a particular emphasis on mobile and social media applications and services. We will also explore the principles of user interface design, systems analysis, information needs analysis, information systems requirements and project planning. Finally, we will examine how modern information and communication technologies (ICTs) have been and are changing the way we communicate, collaborate, share information, innovate, perform, socialize and work, and how these technological changes are affecting the role and functions of information managers in the public and private sectors.	
INFO6070	Reading and Reading Practices	1	Summer	alternating even years	This seminar class will examine theories of reading from social, psychological and literary perspectives. The class will discuss literary practices and the evolution of the concept of literacy in an era of cultural and technological change.	
INFO6090	Culture of Privacy	1	Summer	alternating odd years	This course explores the ever evolving area of privacy. What is the current culture of privacy? What will privacy look like into the future? As a professional, you need to understand the culture of privacy and develop the skills, knowledge, and competencies to apply a privacy filter to your world. Through discussion, readings, and observation this course will provide you an holistic view of the understanding, application, and evolution of privacy.	
INFO6100	Information in Public Policy and Decision Making	1	Winter	Every year	This course will be team taught be faculty members from the Schools of Information Management, Public Administration, Resource and Environmental Studies, and the Marine Affairs Program. The course addresses the question of how information is used in policy making at local, national, and international levels. While modern policy making prescribes the use of the best available information, evidence-based policy making is relatively new and challenging due to the large quantities of information. This course will examine the role of information, arising from various research domains, in policy decisions, and will give particular attention to the interface between research and policy decisions. The course will draw on research-based case studies to illustrate enablers and barriers affecting the use and influence of information.	
INFO6150	History of the Book	1	Winter	alternating odd years	Explores the history of the book from its early beginnings to its present manifestations. While greatest emphasis will be placed upon the history of the book from the mid-15th century to the present, the course will also discuss the history of important precursors of mechanical printing, and literacy, books, and manuscripts in the ancient and medieval periods.	
INFO6250	Services and Resources for Young Adults	1	Winter	alternating odd years	Introduces the social, intellectual and psychological nature of adolescence, with respect to reading, listening and viewing interests.	
INFO6270	Introduction to Data Science	4	Winter	every year	This course serves as an introduction to data science, an increasingly important set of skills and techniques for business intelligence, effective governance, and the research process. The amount of data we generate increases year on year. As computers have begun to play roles in many aspects of our daily life, our actions and interactions leave digital traces. This has led both to an explosion in the amount of data that we generate and an increased interest in analyzing and understanding that data. This class will give you an introduction to the skills you need to effectively collect, manipulate, and analyze data yourself. Rather than being constrained to using any specific data analysis software, we will focus on using the flexible programming language Python. You will receive a thorough introduction to Python, learning how to use a variety of its built-in capabilities as well as a number of available data analysis packages. By the course’s end you should be capable enough that you will be able to begin teaching yourself and expanding your data science skills.	
INFO6290	Managing Research Data	1	Fall	alternating odd years	Data is essential to the research process, and is an essential product of research.  As the volume, variety, and velocity of research data continues to expand, researchers and funding agencies are recognizing the value of proactive research data management (RDM), and are turning to information professionals to help.  This course covers RDM policy, plans, and practice through both theory and practical application.  Students will gain and put into practice knowledge on how to assess requirements; produce practical plans; manage data throughout its lifecycle; curate, preserve and rescue data; and work with international research data standards, across a variety of disciplines.	
